#,اسم الفعالية,الجهة المسؤولة,وصف الفعالية,تاريخ البداية,تاريخ النهاية,عدد الأيام,التصنيف,النوع,المدينة,الفئة الفرعية,حالة الإضافة,التمويل,التواصل,فترة الإقامة,حالة التضمين,سبب الاستبعاد
,ندوة الحج الكبرى 2026م,وزارة الحج والعمرة,"تعتبر منصة عالمية تهدف إلى تعزيز البحث العلمي والدراسات الشرعية والتنظيمية المرتبطة بالحج والعمرة. ومناقشة القضايا الفقهية، التنظيمية، الثقافية، والاجتماعية المتعلقة بموسم الحج، بالإضافة إلى تقديم الرؤى والمبادرات لتطوير الخدمات والممارسات المرتبطة بالحج والعمرة..","Tuesday, May 26, 2026","Tuesday, May 26, 2026",,Tier 1,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,منتدى صناعتنا في طور جديد,اتحاد الغرف التجارية ممثلاً باللجنة الوطنية الصناعية,"منتدى الصناعة السعودي تحت عنوان (صناعتنا في طور جديد: تحول رقمي وتنمية مستدامة)، يهدف إلى دعم المحتوى المحلي وتعزيز التحول الرقمي بمشاركة القطاعين العام والخاص.","Friday, August 14, 2026","Sunday, August 16, 2026",,Tier 2,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,جولة الامتياز التجاري,الهيئة العامة للمنشآت الصغيرة والمتوسطة,"تهدف إلى تعزيز الوعي بمفهوم الامتياز التجاري ونظامه ولائحته التنفيذية وبناء جسور التواصل بين رواد الأعمال والمستثمرين والمنشآت والجهات ذات العلاقة، وتهدف هذه الجولة إلى دعم التوسع والاستثمار في الامتياز التجاري بما يسهم في تنمية الناتج المحلي الإجمالي.","Monday, August 17, 2026","Tuesday, August 18, 2026",,Tier 2,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,لن تضمن,
,معرض SEREDO العقاري,شركة ايفنتفاي لتنظيم المعرض والمؤتمرات,"معرض يجمع أهم المطورين العقاريين وأفضل الخبراء المتخصصين في قطاع العقار، يعرض المعرض العديد من المشاريع والفرص العقارية والاستثمارية في المملكة.","Sunday, September 6, 2026","Tuesday, September 8, 2026",,Tier 2,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,ملتقى التكامل مع القطاع غير الربحي,مجلس شؤون الأسرة ,"ملتقى تشاركي ينظمه مجلس شؤون الأسرة يشارك فيه عدد من الجهات الحكومية والخاصة والقطاع غير الربحي والمؤسسات الإنسانية المانحة، بالإضافة إلى الخبراء والمختصين في المجال الاجتماعي والصحي والنفسي والاقتصادي والترويحي، ويهدف إلى تحقيق أهداف تنموية مشتركة، من خلال تفعيل الشراكات، وتطوير حلول مستدامة، وتقليل التداخلات، واستكشاف التحديات والفرص من أجل تعزيز أثر القطاع غير الربحي في المجتمع.","Thursday, October 1, 2026","Saturday, October 3, 2026",,Tier 2,أعمال,جدة,,أساس,,متواصلة,الربع الرابع من عام 2026م,تضمن,
,ملتقى اليوم العالمي للمواصفات,الهيئة السعودية للمواصفات والمقاييس والجودة,"ملتقى سنوي يعقد بالتزامن مع احتفال دول العالم باليوم العالمي للمواصفات مع الأجهزة الحكومية ذات العلاقة بموضوع المناسبة, ويتضمن الملتقى تقديم أوراق علمية متخصصة بمشاركة مختصين من داخل وخارج المملكة من المنظمات الدولية في مجال التقييس, ويقام هذا الملتقى في مقر الهيئة الرئيسي بمدينة الرياض وفرعيها بالمنطقة الشرقية والغربية, كما يصاحب الملتقى ورش عمل افتراضية.","Wednesday, October 14, 2026","Wednesday, October 14, 2026",,Tier 2,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,لن تضمن,
,معرض من المملكة إلى العالم ,مركز الملك سلمان للإغاثة والأعمال الإنسانية,"يهدف المعرض إلى تعزيز الوعي العام بالجهود الإغاثية السعودية عالمياً، حيث يعمل المعرض كمنصة تفاعلية متنقلة بين مناطق المملكة لإشراك المواطنين في هذه الرؤية الإنسانية وترسيخ مكانة مركز الملك سلمان للإغاثة كنموذج ريادي عالمي.","Sunday, November 1, 2026","Tuesday, November 3, 2026",,Tier 2,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,مؤتمر و معرض الحج 2026م,وزارة الحج والعمرة,"يهدف المؤتمر إلى تقديم الاستراتيجية المتكاملة لتطوير منظومة الحج عبر التعاون والتكامل بين القطاع الحكومي والخاص والقطاع غير الربحي، وذلك بمشاركة عدد من أصحاب المعالي ونخبة من القادة والخبراء والمهتمين بشؤون الحج من أكثر من 80 دولة، لضمان تقديم أفضل الخدمات وأحدث التقنيات لضيوف الرحمن.","Sunday, November 8, 2026","Wednesday, November 11, 2026",,Tier 1,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,ملتقى اليوم العالمي للجودة ,الهيئة السعودية للمواصفات والمقاييس والجودة,"ملتقى سنوي يُعقد بالتزامن مع اليوم العالمي للجودة، بمشاركة خبراء محليين ودوليين، ويشمل أوراق علمية وورش عمل افتراضية","Thursday, November 12, 2026","Thursday, November 12, 2026",,Tier 2,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,لن تضمن,
,مؤتمر الابتكار في استدامة المياه ,الهيئة السعودية للمياه ,"يستهدف المؤتمر دعم الابتكارات ذات العلاقة بصناعة المياه مما يسهم في تعزيز جودة الصناعة عن طريق مناقشة أبرز الممارسات العالمية والحلول الابتكارية في مجالات المياه وتعدين البحار، ويستعرض المؤتمر الدور المحوري الذي يلعبه الابتكار في تسريع نمو واستدامة مستقبل قطاع المياه.","Tuesday, December 1, 2026","Wednesday, December 2, 2026",,Tier 1,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,جائزة الابتكار في قطاع المياه,الهيئة السعودية للمياه ,"جائزة تضم جميع المبتكرين في قطاع المياه محلياً ودولياً وأصحاب الأفكار الرائدة والباحثون والجهات من مختلف أنحاء العالم، بما في ذلك الجامعات والمعاهد والمراكز البحثية والشركات الناشئة، ومجموع قيمة الجوائز يصل إلى 10 مليون دولار.","Thursday, December 3, 2026","Thursday, December 3, 2026",,Tier 1,أعمال,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,لن تضمن,
,تفعيل بلدة الـCowboy,القطاع الخاص - ساوث ويست ,بلدة الكابوي (ساويث ويست) فعالية مستوحاة من ثقافة الكاوبوي الأمريكية التقليدية تتميز هذه البلدة بتصميمها الكلاسيكي والتي تعكس جو الغرب الأمريكي القديم تضم العديد من العروض الترفيهية التفاعلية ومتاجر التسوق ومنطقة مخصصة للمأكولات جميعها تعكس روح الفعالية.,"Sunday, November 23, 2025","Saturday, February 14, 2026",,Tier 2,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,Wnter Wonderland,لجنة التقويم الوطني لمحافظة جدة,"تُعد جدة ونتر وندر لاند واحدة من الفعاليات الشتوية التي تقدم تجربة ترفيهية مدهشة مليئة بالأنشطة المتنوعة التي تناسب جميع الأعمار تقدم Winter Wonderland مجموعة واسعة من الألعاب الترفيهية، العروض الحية، والتجارب الممتعة، إضافة إلى الأنشطة الثلجية التي تُضفي أجواء شتوية ممتعة. تتميز المنطقة بأجوائها السحرية التي تجمع بين الترفيه والمرح في مكان واحد، مما يجعلها وجهة مثالية للعائلات والأصدقاء للاستمتاع بأوقات لا تُنسى خلال موسم الشتاء.","Thursday, January 1, 2026","Saturday, February 14, 2026",,Tier 1,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,الحفلات الغنائية,لجنة التقويم الوطني لمحافظة جدة,إقامة مجموعة من الحفلات الغنائية والعروض الفنية لفنانين عرب وأجانب على مدار العام.,"Thursday, January 1, 2026","Sunday, February 15, 2026",,Tier 2,ترفيه,جدة,,أساس,,غير متواصلة,خلال التواريخ المحددة,لن تضمن,
,كأس السوبر الاسباني,وزارة الرياضة ,بطولة دورية سنوية ينظمها الإتحاد الإسباني لكرة القدم بين 4 فرق وهما بطل الدوري وبطل كأس الملك ووصيف الدوري ووصيف كأس الملك.,"Wednesday, January 7, 2026","Sunday, January 11, 2026",,Marquee,ترفيه,جدة,,أساس,,غير متواصلة,خلال التواريخ المحددة,تضمن,
,معرض جدة الدولي للذهب,لجنة التقويم الوطني لمحافظة جدة,يعد معرض الذهب منصة رائدة تجمع بين صائغي الذهب المتخصصين في الذهب ويضم مجموعة مختارة من التصاميم الرائعة التي تعرض أعلى مستويات الحرفية والإبداع.,"Thursday, January 8, 2026","Monday, January 12, 2026",,Tier 2,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,تفعيل مسرح مرايا,الهيئة المليكة لمحافظة العلا,"يستضيف ويقدّم مسرح مرايا 3 حفلات غنائية بمشاركة مجموعة من أبرز الفنانين الإقليميين والدوليين، لتقديم عروض موسيقية متنوعة تناسب جميع الفئات العمرية.","Thursday, January 8, 2026","Friday, January 23, 2026",,Tier 2,ترفيه,جدة,,أساس,,غير متواصلة,خلال التواريخ المحددة,لن تضمن,
,ماراثون عروس البحر الأحمر,القطاع الخاص - نادي مسافات,"ماراثون ساحلي ينطلق بمحاذاة البحر الأحمر، يمر عبر الكورنيش والمعالم البحرية، مستغلاً طبيعة جدة الساحرة بين البحر والمدينة، ليمنح العدّائين تجربة رياضية وسياحية فريدة تجمع اللياقة بالجمال الطبيعي.","Saturday, January 10, 2026","Saturday, January 10, 2026",,Tier 2,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,مهرجان السفن الخشبية,هيئة التراث ,"تهدف الفعالية الى تسليط الضوء على التراث البحري والتراث المغمور بالمياه في سواحل الخليج العربي شرقاً والبحر الأحمر غرباً، والعمل على استدامة الموارد والمواهب الوطنية في كافة الممارسات الاجتماعية والحرف والصناعات اليدوية المرتبطة بالسفن الشراعية والاحتفاء بها ككنز وطني ثقافي وقوة ناعمة مؤثرة.","Monday, January 12, 2026","Friday, January 16, 2026",,Tier 2,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,سمرضان ,سمرضان,"فعالية تجمع أكثر من 200 مشارك من مجالات متنوعة تشمل العبايات، الجلابيات، الإكسسوارات، ومستلزمات رمضان، إلى جانب الأطعمة والقهوة المختصة ضمن متاجر متكاملة وأجواء رمضانية تُقام قبل حلول شهر رمضان.","Wednesday, January 14, 2026","Friday, January 16, 2026",,Tier 2,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,لن تضمن,
,مسرحية المدينة الترفيهية,صلة,عمل مسرحي ترفيهي كوميدي من بطولة الفنان بدر الشعيبي ومجموعة من الفنانين الكويتين يقدم تجربة مليئة بالضحك والغناء والاستعراضي ضمن قالب تفاعلي خفيف وممتع يناسب جميع أفراد العائلة.,"Wednesday, January 14, 2026","Sunday, January 18, 2026",,Tier 2,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,شارع مناطق العالم,صلة,"الشارع العالمي فعالية ثقافية وترفيهية تجمع ثقافات دول متعددة في موقع واحد، من خلال عروض فنية، تجارب تفاعلية، وأطعمة عالمية تناسب جميع أفراد العائلة.","Wednesday, January 14, 2026","Saturday, April 18, 2026",,Tier 2,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,بطولة العلا لبولو الصحراء,الهيئة المليكة لمحافظة العلا," تعد بطولة العلا للبولو البطولة العالمية الوحيدة المنظمة للبولو في بيئة صحراوية، وتجذب نخبة من أفضل لاعبي هذه الرياضة وأشهر الأسماء، تتضمن البطولة أنشطة داخل وخارج الموقع مصممة لتوفير تجربة فريدة لا تُنسى للضيوف والمشاركين.","Thursday, January 15, 2026","Friday, January 16, 2026",,Tier 1,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,لن تضمن,
,مهرجان الكريكيت الدولي,القطاع الخاص - Infinix Holding,"فعالية رياضية وترفيهية عالمية تُقام لأول مرة في جدة، تستقطب لاعبين كريكيت عالميين يتنافسوا بأسلوب حديث ومميز وتتضمن حفلات غنائية لفنانين عالميين، إلى جانب منافسات وأنشطة جماهيرية في أجواء احتفالية تناسب مختلف الجنسيات.","Tuesday, January 20, 2026","Friday, January 23, 2026",,Tier 1,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,Lets Meet Car Expo,القطاع الخاص,"معرض سيارات يضم عروض سيارات معدلة، مزادات سيارات مختارة، ومشاركة عدد من العلامات المتخصصة في قطاع السيارات، ويستهدف المهتمين بعالم السيارات والتعديل والاستثمار في المجال ضمن منصة واحدة.","Wednesday, January 21, 2026","Friday, January 23, 2026",,Tier 2,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,سباق القوارب الكهربائية ,وزارة الرياضة ,"تقام بطولة العالم لسباق القوارب الكهربائية في جدة للموسم الثالث على التوالي تشمل البطولة منافسات السباقات التأهيلية للمرحلة النهائية وتحديد الفائز في جولة جدة، والتي تعتبر من أحدث سباقات رياضة المحركات المائية الكهربائية المستدامة عالميا.","Friday, January 23, 2026","Saturday, January 24, 2026",,Tier 1,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,Balad Beast Concert,MDL Beast,"مهرجان موسيقي يقام على أربع مسارح، أكثر من 70 فنان، وكل الأنواع الموسيقية في موقع التراث العالمي لليونسكو في جدة التاريخية، يجمع المهرجان الأسلوب التراثي والتاريخي في العمارة والتي تستخدم كخلفيات وديكور للعروض الموسيقية الحديثة والتركيبات الفنية المعاصرة.","Thursday, January 29, 2026","Friday, January 30, 2026",,Tier 1,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,Jeddah Sneaker Con,لجنة التقويم الوطني لمحافظة جدة,"النسخة المحلية من الحدث العالمي الشهير Sneaker Con، وتُعد أكبر منصة لعشّاق السنيكرز في العالم، وهي فعالية ترفيهية وتجارية متخصصة في عالم السنيكرز (الأحذية الرياضية) وثقافة الستريت وير وتضم أبرز بائعي الأحذية الحصرية من الولايات المتحدة الأمريكية ","Sunday, February 1, 2026","Tuesday, February 3, 2026",,Tier 1,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,Beauty Week,لجنة التقويم الوطني لمحافظة جدة,"بيوتي ويك هي فعالية تركز على عالم الجمال، حيث يتم استعراض أبرز المنتجات العالمية في هذا المجال، إلى جانب تنظيم ورش عمل لتقنيات المكياج والعناية بالبشرة مع أشهر المتخصصين العالميين والعرب، بالإضافة إلى جلسات استشارية مع خبراء التجميل.","Friday, February 6, 2026","Saturday, February 14, 2026",,Tier 1,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,PFL MENA,لجنة التقويم الوطني لمحافظة جدة,"تُعد بطولة PFL MENA واحدة من أبرز البطولات القتالية في منطقة الشرق الأوسط وشمال أفريقيا، حيث تجمع أفضل المقاتلين في عالم الفنون القتالية المختلطة MMA وتقدم البطولة مواجهات مثيرة ومليئة بالتحدي بين نخبة من الرياضيين الموهوبين في جو من الحماس والتنافس الشديد. تتميزPFL MENA بتنظيم احترافي ومباريات حماسية تجذب عشاق الرياضة والمقاتلين مما يجعلها حدثًا رياضيًا استثنائيًا في مدينة جدة.","Friday, February 13, 2026","Friday, February 13, 2026",,Tier 1,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,Formula E ,وزارة الرياضة ,"بطولة سباق السيارات الكهربائية ذات المقعد الواحد التابعة لبطولات الاتحاد الدولي للسيارات، حيث يتسابق المتنافسون في شوارع المدن الكبرى حول العالم، وتجمع بين السرعة والاستدامة.","Friday, February 13, 2026","Saturday, February 14, 2026",,Marquee,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,موسم رمضان,وزارة الثقافة,"يقام موسم رمضان في جدة التاريخية لإحياء الموروث التاريخي والهوية الثقافية من خلال تجارب حيّة تجمع بين الثقافة والترفيه، وتسهم في تعزيز فهم أبنائنا لموروثهم الاجتماعي والأخلاقي والقيمي.","Monday, February 16, 2026","Tuesday, March 17, 2026",,Tier 2,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,مهرجان حكاية,WHITE CHERRY,مهرجان رمضاني يقدم لزواره تجربة ترفيهية وثقافية وسياحية شاملة مع متعة التسوق في الأجواء الرمضانية بأسلوب عصري وتراثي بنفس الوقت.,"Wednesday, February 18, 2026","Saturday, March 14, 2026",,Tier 2,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض الكنوز الغارقة ,هيئة المتاحف ,"يستعرض المعرض المكتشفات الأثرية المغمورة التي تم اكتشافها وانتشالها من حطام السفن في المواقع الأثرية على سواحل البحر الأحمر، كما يوثّق المعرض الدور التاريخي للبحر الأحمر كممرٍّ مائيٍّ حيوي واستراتيجي يربط بين البحر الأبيض المتوسط والمحيط الهندي وأهميته في حركة التجارة والتبادل الثقافي وطرق الملاحة.","Wednesday, February 25, 2026","Sunday, May 17, 2026",,Tier 2,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,حفلات عيد الفطر الغنائية,الهيئة العامة للترفيه,"تحتفل المملكة العربية السعودية بأيام عيد الفطر المبارك، حيث تقام العديد من الحفلات العربية والمسرحيات والألعاب النارية لرسم بهجة وسعادة لسكانها.","Friday, March 20, 2026","Friday, March 27, 2026",,Tier 2,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,سيرك بلوما,لجنة التقويم الوطني لمحافظة جدة,"عرض سيرك عالمي يجمع بين العروض البهلوانية المبهرة، الألعاب الجوية، المؤثرات البصرية الحديثة، والموسيقى الحية ليقدّم تجربة ترفيهية فريدة تناسب العائلات والأصدقاء.","Saturday, March 21, 2026","Tuesday, May 19, 2026",,Tier 1,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,10 حفلات غنائية,لجنة التقويم الوطني لمحافظة جدة,إقامة مجموعة من الحفلات الغنائية والعروض الفنية لفنانين عرب وأجانب على مدار العام.,"Monday, April 6, 2026","Thursday, December 31, 2026",,Tier 2,ترفيه,جدة,,أساس,,غير متواصلة,خلال التواريخ المحددة,تضمن,
,ليالي جدة للكوميديا,لجنة التقويم الوطني لمحافظة جدة,فعالية كوميدية تعتمد على تقديم عروض ستاند أب يقدمها نخبة من نجوم الكوميديا السعوديون والعرب في أمسيات استثنائية مليئة بالضحك والتفاعل وتقدّم تجربة فنية تفاعلية للجمهور.,"Thursday, April 9, 2026","Thursday, April 16, 2026",,Tier 1,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,Formula 1 ,وزارة الرياضة ,"تستضيف جدة سباق “Formula 1"" للمرة السادسة وهذه السنة باسم ""سباق جائزة السعودية الكبرى"" وهي أعلى تصنيف من سباقات الفورمولا وأشهر بطولة سباقات للسيارات الاحترافية عالية السرعة.","Friday, April 17, 2026","Sunday, April 19, 2026",,Marquee,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض قلب البحر ,هيئة المتاحف ,"معرض فوتوغرافي في ساحة متحف البحر الأحمر يجمع بين ثلاثة من أبرز المصورين العالميين الذين كرّسوا عدساتهم لاستكشاف علاقة الإنسان بالبحر والطبيعة: يان أرتوس برتران، وجان غومي، وسيباستياو سالغادو، يأتي افتتاح المعرض متزامنًا مع اليوم العالمي للمحيطات في شهر يونيو.","Thursday, June 4, 2026","Wednesday, December 2, 2026",,Tier 2,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض في تتبّع ذكريات غامرة,هيئة المتاحف ,"يقدم معرض استخدام النسيج كوسيط فني حيث تربط بين الحرف التقليدية وبين الأساليب الفنية المعاصرة، لتقدّم رؤية فنية تمزج بين الأصالة والتجريب، وتعبّر عن التواصل بين الماضي والحاضر عبر رموز مستوحاة من التراث والأساطير.","Thursday, June 18, 2026","Monday, September 7, 2026",,Tier 2,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,غابة العجائب,لجنة التقويم الوطني لمحافظة جدة,"غابة العجائب تأتي بطابع مستوحى من الغابات والكائنات التي تعيشها، وتحتوي على العديد من التجارب التفاعلية والعروض المبهجة والحيوانات النادرة والألعاب المسلية.","Thursday, June 25, 2026","Saturday, August 8, 2026",,Tier 1,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,الساحل الغربي,لجنة التقويم الوطني لمحافظة جدة,"الساحل الغربي يقام على شاطئ البحر الأحمر في جدة ويضم العديد من الأنشطة البحرية المختلفة والتجارب الشاطئية النوعية إلى جانب الحفلات الموسيقية الحية التي تضفي أجواءً مميزة. كما يتيح للزوار تجربة الرياضات الشاطئية الممتعة، كما يقدم المهرجان مجموعة من المطاعم الرائعة على شاطئ البحر. يستمر المهرجان طوال فترة الصيف، ليكون وجهة مثالية للتمتع بالأجواء الصيفية وأجواء البحر في كل لحظة.","Thursday, June 25, 2026","Tuesday, September 22, 2026",,Tier 1,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
,مهرجان جدة للتسوق,لجنة التقويم الوطني لمحافظة جدة,يعد مهرجان جدة للتسوق فعالية سنوية تقام خلال اجازة الصيف بهدف تفعيل المراكز التجارية من خلال تقديم خصومات وعروض مميزة على العلامات التجارية بالإضافة إلى إقامة العروض والأنشطة الترفيهية المتنوعة التي تساهم بشكل كبير في تنمية النشاط الاقتصادي في المدينة في موسم الصيف وتجذب الزوار من داخل وخارج المملكة.,"Wednesday, July 1, 2026","Saturday, August 29, 2026",,Tier 1,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,لن تضمن,
,مهرجان لحن المملكة,هيئة الموسيقى,"فعالية موسيقية نوعية تركز على تكريم رموز التلحين في الأغنية السعودية والخليجية، في كل ليلة يُكرَّم ملحن سعودي له بصمة فنية بارزة خلال حفلات غنائية يؤديها فنانان سعوديان أو خليجيان ويستهدف الحدث الجمهور المحلي والإقليمي ويعيد تقديم رواد الأغنية بأسلوب معاصر.","Thursday, July 9, 2026","Friday, July 10, 2026",,Tier 2,ترفيه,جدة,,أساس,,متواصلة,خلال التواريخ المحددة,تضمن,
