#,اسم الفعالية,الجهة المسؤولة,وصف الفعالية,تاريخ البداية,تاريخ النهاية,عدد الأيام,التصنيف,النوع,المدينة,الفئة الفرعية,حالة الإضافة,التمويل,التواصل,فترة الإقامة,حالة التضمين,سبب الاستبعاد
,ترحاب,بلدية الساحل,فعالية على الواجهة البحرية تشمل على عروض مسرحية وأنشطة شاطئية وبحرية ومناطق للعائلات والأطفال ومعارض للأسر المنتجة كما تتضمن على شاطئ مخصص للسيدات.,"Thursday, January 1, 2026","Wednesday, April 1, 2026",91,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,عربة الأطباق الوطنية السعودية,هيئة فنون الطهي,تحت مبادرة رواية الأطباق ينطلق معرض متنقل عن الطبق الوطني السعودي والحلوى الوطنية السعودية الذي يتمثل في معرض تفاعلي متنقل يقدّم تجربة تعريفية عن الطبق الوطني والحلوى الوطنية بطرق جديدة وجذابة وذلك بتواجده في مواقع رئيسية وحيوية مثل الأسواق والأماكن العامة وأبرز الفعاليات والمهرجانات المحلية . ,"Thursday, January 1, 2026","Tuesday, December 1, 2026",5,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,تفعيلات حية لحي المفتاحة,هيئة تطوير منطقة عسير,تفعيل حي المفتاحة على مدار العام عبر برنامج مستمر من الفعاليات الثقافية والترفيهية مع توفير مطاعم ومحلات متنوعة وورش عمل وعروض موسيقية حيّة وعروض ستاند أب كوميدي.,"Thursday, January 1, 2026","Thursday, December 31, 2026",365,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,رالي داكار,وزارة الرياضة,تستضيف المملكة العربية السعودية النسخة السابعة لسباق الرالي الدولي  وهو سباق دولي للراليات يشارك فيه متسابقون من مختلف دول العالم ويقام على عدة مراحل في مناطق متعددة من المملكة ومن ضمنها منطقة عسير.,"Saturday, January 3, 2026","Monday, January 19, 2026",17,Tier 1,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,حديقة العدل,هيئة تطوير منطقة عسير,تفعيل حديقة العدل حيث تتضمن مسارات للمشي ومناطق جلوس ومساحات لأنشطة عائلية وترفيهية مع مرافق وخدمات أساسية للزوار.,"Tuesday, January 20, 2026","Thursday, December 31, 2026",346,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,فعالية الحنيذ,بلدية محايل,فعالية تركز على إبراز إعداد الحنيذ كمنتج محلي وتشمل مشاركة طهاة محليين وحرفيين وفقرات شعبية وأركان للمنتجات المحلية وأسواقاً للأسر المنتجة.,"Thursday, January 22, 2026","Wednesday, January 28, 2026",7,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,تفعيلات يوم التأسيس,هيئة المكتبات, فعالية يوم التأسيس احتفاءً بتاريخ المملكة وجذورها العريقة منذ تأسيس الدولة السعودية الأولى عام 1139هـ / 1727م في أجواء وطنية تعبّر عن الفخر بالهوية والتلاحم بين القيادة والشعب.تضم الفعالية عروضًا فنية وتراثية ومعارض تاريخية وأركانًا تفاعلية تُجسّد مسيرة ثلاثة قرون من البناء والعطاء وتهدف إلى تعزيز الانتماء الوطني وربط الأجيال بتاريخ الدولة السعودية في تجربة تُحيي الماضي وتحتفي بالحاضر وتُلهم المستقبل.,"Sunday, February 22, 2026","Sunday, February 22, 2026",1,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,تفعيلات عيد الفطر,هيئة المكتبات,"فعاليات عيد الفطر احتفاءً بفرحة العيد ومظاهر البهجة التي تعكس قيم التآلف والتراحم في المجتمع السعودي في أجواء أسرية تنشر الفرح وتُجدد مشاعر المحبة والسرور بعد شهر رمضان المبارك.
تتضمن الفعاليات عروضًا ترفيهية وفقرات فنية للأطفال والعائلات وأركانًا تفاعلية وثقافية ومناطق ألعاب وهدايا ومعروضات تُبرز تقاليد العيد المتوارثة في المملكة.وتهدف هذه الفعالية إلى تعزيز الروابط الاجتماعية وإحياء العادات الجميلة المرتبطة بالعيد وخلق تجربة احتفالية تُدخل البهجة إلى النفوس وتُجسّد معاني السعادة والامتنان.","Saturday, March 21, 2026","Monday, March 23, 2026",3,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,مسرح طلال مداح,هيئة تطوير منطقة عسير,تفعيل وإحياء مسرح الفنان الراحل طلال مداح من خلال تنظيم عدد من الحفلات الغنائية والعروض المسرحية المتنوعة تشمل على عروض مسرحية و ستاند اب كوميدي والتي تُسلّط الضوء على نجوم الفن الخليجي والعربي.,"Monday, March 23, 2026","Thursday, December 31, 2026",284,Tier 1,ترفيه,عسير,,أساس,لم تلغى,غير متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,سوق الثلاثاء الشعبي,هيئة تطوير منطقة عسير,"تم اعادة افتتاح سوق الثلاثاء الشعبي بعد ترميمه، حيث يقام طوال أيام الأسبوع ويضم عدد من منافذ المنتجات المحلية والحرف اليدوية ويقدّم أنشطة وتجارب تعكس التراث المحلي.","Sunday, March 29, 2026","Thursday, December 31, 2026",278,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مركز المغامرات المائية,هيئة تطوير منطقة عسير,تفعيل منطقة ترفيهية بحرية تقدّم أنشطة ألعاب مائية وتجارب شاطئية متنوعة مع مناطق مخصصة للتسوق والأطعمة والمشروبات إلى جانب عروض متجولة وبرامج ترفيهية مستمرة تعزز تجربة الزوار وتشجع على التفاعل والإقامة لفترات أطول.,"Wednesday, April 1, 2026","Monday, June 1, 2026",62,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,عرض سراب للأزياء,شركة المتن العالي,عرض أزياء دولي في منطقة عسير يمزج بين الفخامة والهوية الثقافية للمنطقة ويقدّم عروض أزياء حيّة إلى جانب تجربة ثقافية متكاملة تشمل الموسيقى والمأكولات والفنون.,"Thursday, April 23, 2026","Saturday, April 25, 2026",3,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مارثون,جوي ريس,سباق جري يضم ماراثونًا ونصف ماراثون ومسافات متنوعة يُقام عبر مسارات مختلفة مع فئات للمشاركين حسب العمر والمستوى بما يتيح لكل مشارك تجربة مناسبة على مساره من نقطة البداية حتى خط النهاية.,"Friday, May 1, 2026","Saturday, May 2, 2026",2,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,اغلى بلد,عاصفة الصداره لتنظيم المعارض والؤتمرات,"فعالية اجتماعية وثقافية وترفيهية تقدّم تجارب متنوعة تبرز جمال المنطقة وهويتها وتشمل عروضًا فنية ومشاركة للمواهب المحلية، إضافة إلى أركان للمأكولات والمنتجات في أجواء تعكس الفنون والتراث.","Friday, May 1, 2026","Thursday, May 7, 2026",7,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,مهرجان رجال الطيب,هيئة تطوير منطقة عسير,مهرجان تراثي يحتفي بعادات رجال الطيب ويتضمن عروضاً موسيقية وحرفاً تقليدية وأنشطة تراثية وأزياء مع برنامج ترفيهي منظم للزوار.,"Friday, May 1, 2026","Friday, May 15, 2026",15,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,قصور ابو سراح,هيئة تطوير منطقة عسير,تفعيل قصور آل أبو سراح عبر أنشطة مرتبطة بالموروث المعماري والثقافي والطبيعة المحيطة تشمل جولات تعريفية داخل الموقع ومعروضات تفسيرية عن تاريخ القصور وأنشطة حرفية وثقافية إضافة إلى مناطق جلوس وخدمات أساسية للزوار.,"Friday, May 1, 2026","Saturday, August 1, 2026",93,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,قصور العسابلة,هيئة تطوير منطقة عسير,تفعيل قرية قصور العسابلة التراثية عبر تنظيم أنشطة ثقافية واجتماعية وترفيهية داخل الموقع بما يدعم زيارة الموقع والتعريف بهويته المحلية ومكوناته التراثية.,"Friday, May 1, 2026","Saturday, August 1, 2026",93,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,قرية ال ينفع,هيئة تطوير منطقة عسير,فعالية موسمية لإحياء القصور التاريخية تتضمن برنامجًا متعدد المحاور ثقافيًا واجتماعيًا وترفيهيًا داخل مواقع تراثية مع أنشطة تعريفية وعروض وأركان مرتبطة بالهوية الثقافية.,"Friday, May 1, 2026","Saturday, August 1, 2026",93,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,"قصور وقلاع آل ابو نقطة المتحمي
  -طبب التاريخية",هيئة تطوير منطقة عسير,فعاليات موسمية في قلاع أبو نقطة المتحمي ببلدة طبب التاريخية تشمل عروضًا موسيقية حيّة وعروضًا فلكلورية وتجارب تذوق مأكولات ومشروبات محلية وعروضًا ثلاثية الأبعاد إضافة إلى معرض فني مصاحب يستلهم التراث والفنون المحلية مع توظيف طبيعة الموقع ومكوناته الثقافية.,"Friday, May 1, 2026","Saturday, August 1, 2026",93,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,مهرجان القصور والقرى التراثية,هيئة تطوير منطقة عسير,فعاليات موسمية في قلاع أبو نقطة المتحمي ببلدة طبب التاريخية وقصور ابو سراح وقصور العسابلة وقرية ال ينفع تشمل عروضًا موسيقية حيّة وعروضًا فلكلورية وتجارب تذوق مأكولات ومشروبات محلية وعروضًا ثلاثية الأبعاد إضافة إلى معرض فني مصاحب يستلهم التراث والفنون المحلية.,"Friday, May 1, 2026","Sunday, August 23, 2026",115,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,هوساك,شركة هوساك,مخيم مغامرات رياضية في موقع جبلي يقدّم أنشطة خارجية تشمل المشي لمسافات طويلة وركوب الخيل واستخدام الدراجات الكهربائية على الطرق الوعرة وإضافة إلى تجربة عربة الجاذبية وهي عربة انزلاقية تتحرك بالاعتماد على الانحدار الطبيعي للمسار دون محرّك ضمن مسارات آمنة مخصصة.,"Friday, May 1, 2026","Wednesday, September 30, 2026",153,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,تفعيلات عيد الأضحى,هيئة المكتبات," فعاليات عيد الأضحى احتفاءً بهذه المناسبة الدينية العظيمة التي تعبّر عن قيم التضحية والعطاء والتكافل في المجتمع السعودي. تتضمن الفعاليات عروضًا ترفيهية للأسر والأطفال وبرامج ثقافية وتفاعلية تُبرز المظاهر التراثية والاجتماعية للعيد إضافة إلى أركان مخصّصة للهوية السعودية وتجارب تعزز روح المشاركة والفرح وتهدف الفعالية إلى تعزيز الألفة بين أفراد المجتمع، وإحياء العادات الأصيلة المرتبطة بالعيد وتقديم تجربة احتفالية تُدخل البهجة إلى القلوب وتستحضر معاني السخاء والوحدة.","Thursday, May 28, 2026","Saturday, May 30, 2026",3,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,سكة,مؤسسة مقهى بوزن,فعالية سكة فعالية مجتمعية تُقام في بيئة ترفيهية معاصرة وتستند إلى عناصر من الهوية المحلية ضمن أنشطة تفاعلية متنوعة وتشمل برامج موجهة لمختلف الفئات العمرية وتوفر مساحة لعرض الحرف المحلية ومشاركة رواد الأعمال في إطار تعليمي وترفيهي إضافة إلى وجود مقهى داخل الموقع.,"Thursday, May 28, 2026","Wednesday, November 25, 2026",179,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,الحفلات الغنائية,هيئة تطوير منطقة عسير,سلسلة حفلات موسيقية تضم أمسيات غنائية متنوعة بمشاركة نخبة من الفنانين من الخليج والعالم العربي وتقدّم تجارب فنية حيّة تجمع بين الطرب والإيقاعات الحديثة.,"Friday, May 29, 2026","Sunday, August 23, 2026",87,Tier 2,ترفيه,عسير,,أساس,لم تلغى,غير متواصلة,خلال التواريخ المحددة,تضمن,
,قرية السماء,شركة كرم  أبها,يقع سكاي فلج على قمة مرتفعة ويطل على المدينة من موقع مفتوح ويضم مطاعم ومقاهي وأكشاك متنوعة وتقام فيه فعاليات حية خلال فصل الصيف ويمكن للزوار قضاء وقت لتناول الطعام أو الجلوس مع العائلة والأصدقاء في أجواء خارجية منظمة.,"Monday, June 1, 2026","Sunday, August 30, 2026",91,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,غير مضمنة
,بيوني الشرف,مؤسسة حيوية قهوتي,فعالية بيوني موقع يضم جلسات خارجية ومسطحات خضراء وعناصر مائية صُمم باستخدام أحجار وأخشاب قديمة مستوحاة من طبيعة جبال عسير.,"Monday, June 1, 2026","Thursday, October 1, 2026",122,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,منطقة مشجعي كأس العالم 2026م,هيئة تطوير  منطقة عسير ,"مساحة تجمع عشّاق كرة القدم في أجواء حماسية حيث تتكامل متعة متابعة المباريات مباشرة عبر شاشات عرض ضخمة مع تجربة ممارسة اللعبة في مناطق مخصّصة للأنشطة التفاعلية والألعاب الرياضية، وتضم المنطقة تجارب ترفيهية متنوعة مناسبة للعائلات وجميع الفئات إلى جانب مجموعة من المطاعم والمقاهي التي تثري التجربة وتوفر أجواءً مريحة للمشاهدة والتفاعل.","Wednesday, June 10, 2026","Sunday, August 23, 2026",75,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مزرعة الليوان,مؤسسة الحفرة,تجربة نزل ريفي في مزرعة وبيت طين مُطوّر تتضمن مبيتاً وإفطاراً محلياً ومحتوى تعريفياً بتاريخ الموقع بما يشمل عرض قطع تراثية تُعرّف الزوار بخصوصية المكان.,"Monday, June 22, 2026","Wednesday, September 30, 2026",101,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,مهرجان أبها للتسوق,شركة الحدث الجديد,هي فعالية تجمع بين التسوق والترفيه تُقام خلال فترة الصيف لخدمة السياحة وزوار منطقة عسير ويضم المهرجان صالات تسوق لمنتجات محلية وخليجية ودولية بالإضافة إلى مدينة ملاهي متكاملة ويشمل مجموعة متنوعة من الفعاليات الترفيهية المناسبة لمختلف الفئات العمرية.,"Wednesday, June 24, 2026","Friday, August 28, 2026",66,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,تجارب ريفية ,مؤسسة محمد عبدالله عبود,فعالية ريفية زراعية تعتمد على تجارب تفاعلية تتيح للزوار زراعة الشتلات و قطف الفواكه و تذوق العصائر الموسمية وتجربة تذوق فطور محلي واستخراج المربى وإعداد خبز التنور و الأطباق المحلية والتصوير بالزي التراثي.,"Wednesday, June 24, 2026","Tuesday, September 1, 2026",70,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مهرجان ماجيك فير ,شركة أربعة مواسم للترفيه,مهرجان ماجيك فير فعالية ترفيهية عائلية تضم ألعابًا أوروبية وعروضًا متنوعة وأنشطة تفاعلية مخصصة للزوار من مختلف الأعمار وقد أُقيمت الفعالية سابقًا في عدد من المدن السعودية منها جيزان وأبها والأحساء والظهران.,"Thursday, June 25, 2026","Sunday, August 30, 2026",75,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,فعالية سيّر ,هيئة تطوير  منطقة عسير ,"تجربة ملهمة تجمع بين روح المغامرة وجمال الطبيعة حيث تتكون الفعالية من عدة مناطق ترفيهية، تقدم كل منطقة أنشطة مختلفة تشمل على أنشطة حركية ورياضية مثل المشي في المسارات والتسلق والبادل والفروسية، إضافة إلى مناطق مخصصة للتخييم وورش العمل والعروض الموسيقية الحية وتجارب اليوغا والطهي المحلي، كما تضم الفعالية منطقة خاصة توفر أكواخًا مستقلة بجلسات داخلية وخارجية.","Thursday, June 25, 2026","Tuesday, September 1, 2026",69,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,تفعيلات وِرث,المعهد الملكي للفنون التقليدية ,فعالية ومعكسر ورث تعد فعالية مجتمعية تجمع بين تجربة الفعاليات والمعسكرات التعليمية وتقدّم برنامجًا تفاعليًا لاكتشاف الفنون التقليدية عبر محطات إبداعية وورش تطبيقية يمارس فيها المشاركون الحرف المحلية وينتجون أعمالًا فنية تعكس الموروث الثقافي مع أنشطة جماعية وتجارب ميدانية.,"Thursday, July 23, 2026","Sunday, August 30, 2026",34,Tier 2,ترفيه,عسير,,أساس,لم تلغى,غير متواصلة,خلال التواريخ المحددة,تضمن,
,معسكر تفعيلات  وِرث - أبها | النسخة الثالثة,المعهد الملكي للفنون التقليدية ,يعد أول برنامج سعودي تدريبي وتعليمي متخصّص في مجال الفنون التقليدية حيث يوفّر تجربة متكاملة تهدف إلى صقل المهارات الحسية وتنمية الشخصية القيادية لـ 50 مشاركًا من مختلف أنحاء المملكة.يقدّم المعسكر مزيجًا من الأنشطة التفاعلية والتجارب الملهمة تشمل على ورش عمل نظرية وعملية في الفنون التقليدية أعمال فنية جماعية تنمّي روح الفريق والإبداع وزيارات ميدانية وتفعيلات مصاحبة للتعرّف على الحرف المحلية وتجربة مبيت في أجواء طبيعية تعكس أصالة المنطقة وتنوّع بيئتها يمثل معسكر وِرث منصة لتمكين المواهب الوطنية وإحياء الموروث الثقافي عبر دمج الحرف التقليدية بالأساليب المعاصرة وتعزيز الوعي المجتمعي بأهمية الفنون اليدوية في مختلف مناطق المملكة. ,"Saturday, August 1, 2026","Sunday, August 30, 2026",30,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,لن تضمن,Tier 3
,مهرجان المونودراما,هيئة المسرح والفنون الأدائية,مهرجان محلي يختص بعروض المونودراما (عرض مسرحي يقدمه ممثل واحد يروي قصة متكاملة بأسلوب إبداعي وحضور مؤثر) حيث تتنافس العروض المسرحية المشاركة في مسابقة المهرجان على جوائزه المختلفة مستهدفةَ حضور المسرحيين والمثقفين والنقّاد والجمهور العام. ,"Saturday, September 5, 2026","Wednesday, September 9, 2026",5,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,تفعيلات اليوم الوطني,هيئة المكتبات,"فعاليات اليوم الوطني السعودي احتفاءً بمسيرة الوطن ووحدته التي أرسى دعائمها الملك عبدالعزيز بن عبدالرحمن آل سعود – طيب الله ثراه – عام 1351هـ / 1932م، في أجواء تفيض فخرًا واعتزازًا بالهوية السعودية.تتضمن الفعاليات عروضًا فنية ووطنية وأركانًا تفاعلية ومعارض تُبرز إنجازات المملكة وتاريخها المشرق إلى جانب مشاركات مجتمعية تعبّر عن روح الولاء والانتماء وتهدف هذه الفعالية إلى تعزيز القيم الوطنية واستحضار مسيرة النماء والازدهاروالاحتفاء بماضي المملكة العريق وحاضرها الزاهر ومستقبلها الواعد.","Wednesday, September 23, 2026","Wednesday, September 23, 2026",1,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,رحلة في الإرث الإقليمي,هيئة المتاحف,تهدف الفعالية الى توسيع نطاق رؤية هيئة المتاحف وتعزيز الشراكات الإقليمية عبر المملكة من خلال سلسلة برامج متنقلة تقدّم رؤى متحفيه متخصصة وموجهة للجمهور. ينقسم البرنامج إلى ثلاثة محاور رئيسية(العمارة المادية والمجموعات الحية والتاريخ البحري والسرد القصصي التوثيق الحضري والذاكرة المعمارية) يركّز كل منها على توثيق وتحويل الإرث المحلي إلى مجموعات حية (Living Collections) تُثري المشهد الثقافي وتوسّع التفاعل مع الشركاء الإقليميين.,"Thursday, October 1, 2026","Thursday, October 15, 2026",15,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,أطفالنا يقرؤون,هيئة المكتبات, فعالية تفاعلية تهدف إلى تعزيز حب القراءة لدى الأطفال من عمر 5 إلى 15 عامًا عبر أنشطة متنوعة تحفّز الخيال وتفتح أبواب المعرفة مع ورش مخصصة لأولياء الأمور لدعم بناء عادات قرائية مستدامة. تجربة تجمع بين المتعة والتعليم في بيئة محفزة للإبداع والنمو الثقافي.,"Thursday, November 19, 2026","Saturday, November 21, 2026",3,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,ليالي المكتبات,هيئة المكتبات, تجربة ثقافية فريدة تحتفي بالكتاب والمعرفة وتعــزز دور المكتبـــات في المجتمــع. تقدم الفعاليــة مجموعة من الأنشطــة المتنوعــة بهـدف تشجيـع القـراءة وتعـزيز الوعـي الثقـافي.,"Thursday, December 24, 2026","Saturday, December 26, 2026",3,Tier 3,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,مارثون الجاكرندا,شركة جوي ريس,"فعالية جري ضمن موسم الجاكرندا تتضمن تنظيم عدة سباقات جري بمسافات مختلفة تناسب جميع المشاركين، حيث تشمل سباق جري لمسافة 2 كيلومتر، وسباق جري لمسافة 10 كيلومترات، بالإضافة إلى سباقات جري لمسافات طويلة تتراوح بين 21 و50 كيلومترًا.","Friday, May 1, 2026","Saturday, May 2, 2026",2,Tier 2,ترفيه,عسير,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,خارج نطاق 2026
