#,اسم الفعالية,الجهة المسؤولة,وصف الفعالية,تاريخ البداية,تاريخ النهاية,عدد الأيام,التصنيف,النوع,المدينة,الفئة الفرعية,حالة الإضافة,التمويل,التواصل,فترة الإقامة,حالة التضمين,سبب الاستبعاد
,برامج متنوعة في جميع مناطق المملكة,مركز الملك عبدالعزيز للتواصل الحضاري,في الشهر  لا يقل عن برنامجين.,"Thursday, January 1, 2026","Thursday, January 1, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,لن تضمن,Tier 3
,الاحتفال بيوم التأسيس,مركز الملك عبدالعزيز للتواصل الحضاري,يوم التأسيس,"Thursday, January 1, 2026","Thursday, January 1, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,لن تضمن,Tier 3
,الاحتفال بيوم العلم ,مركز الملك عبدالعزيز للتواصل الحضاري,يوم العلم,"Thursday, January 1, 2026","Thursday, January 1, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,لن تضمن,Tier 3
,"الاحتفاء بالأيام العالمية ذات العلاقة بأهداف المركز، وأهم الأيام الطبية والاجتماعية",مركز الملك عبدالعزيز للتواصل الحضاري,الاحتفاء بالأيام العالمية ذات العلاقة بأهداف المركز وأهم الأيام الطبية والاجتماعية.,"Thursday, January 1, 2026","Thursday, January 1, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,لن تضمن,Tier 3
,معرض النماذج الصناعية والابتكارات التكنولوجية,جامعة الإمام محمد بن سعود الإسلامية,"معرض تقني تطبيقي يهدف إلى عرض منتجات قابلة للتطوير الصناعي أو الاستثماري، تجمع بين الابتكار الأكاديمي والحلول التقنية. يوفّر المعرض منصة للتفاعل بين المبتكرين من الطلاب والباحثين، والمستثمرين والشركات الصناعية، بما يعزز من فرص التحول التجاري للأبحاث، ويعكس دور الجامعة في دعم منظومة الابتكار والصناعة الوطنية.","Thursday, January 1, 2026","Friday, January 2, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,تحسب بدون تضمين,Tier 3
,منتدى المحتوى العلمي العربي والنشر في المنصات العالمية,جامعة الإمام محمد بن سعود الإسلامية,"منتدى علمي يُعنى بتعزيز مكانة المحتوى العلمي العربي في البيئة الأكاديمية العالمية، من خلال مناقشة استراتيجيات النشر النوعي، وسياسات الترجمة، وفرص إدراج المجلات العربية في قواعد البيانات المصنّفة. يهدف المنتدى إلى تمكين الباحثين من النشر المزدوج/النوعي، وتوسيع حضور اللغة العربية في الأبحاث الرصينة، وبحث التحديات المرتبطة بمعايير النشر العالمي.","Thursday, January 1, 2026","Friday, January 2, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,تحسب بدون تضمين,Tier 3
,منتدى التميز في النشر العلمي والمجلات الأكاديمية المفهرسة,جامعة الإمام محمد بن سعود الإسلامية,"ملتقى علمي يُعنى بتعزيز ثقافة التميز في النشر العلمي، ورفع جودة المجلات الأكاديمية، وتمكينها من الانضمام إلى قواعد البيانات المصنّفة. يهدف إلى تطوير المعايير التحريرية للمجلات العلمية، ومشاركة أفضل الممارسات في إدارة المجلات، وتحفيز الباحثين للنشر في أوعية معتمدة ذات معامل تأثير مرتفع، بما يسهم في رفع ترتيب الجامعة في التصنيفات العالمية وتحقيق مستهدفات الريادة البحثية.","Thursday, January 1, 2026","Friday, January 2, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,تحسب بدون تضمين,Tier 3
,منتدى الدراسات العليا والبرامج متعددة التخصصات,جامعة الإمام محمد بن سعود الإسلامية,"منتدى علمي وطني يُعنى باستشراف مستقبل الدراسات العليا والبرامج البينية، ويهدف إلى مناقشة التحولات المعرفية والتخصصية التي تتطلبها التنمية الوطنية، واستكشاف فرص تطوير البرامج الدراسية التي تجمع بين تخصصات متعددة بما يتماشى مع احتياجات سوق العمل والاتجاهات البحثية العالمية. يسعى المنتدى إلى تعزيز تكامل البحث العلمي مع التعليم العالي، وطرح نماذج رائدة للبرامج البينية ذات القيمة المضافة.","Thursday, January 1, 2026","Friday, January 2, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,تحسب بدون تضمين,Tier 3
,ملتقى الشراكات البحثية المؤسسية والتحالفات الوطنية,جامعة الإمام محمد بن سعود الإسلامية,"ملتقى وطني يُسلّط الضوء على أهمية الشراكات البحثية المؤسسية والتحالفات الوطنية في توحيد الجهود البحثية وتعظيم الأثر العلمي. يهدف إلى عرض النماذج الناجحة من الشراكات بين الجامعات والجهات الحكومية والصناعية، واستكشاف آليات بناء التحالفات المستدامة التي تدعم الأولويات الوطنية.","Thursday, January 1, 2026","Friday, January 2, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,تحسب بدون تضمين,Tier 3
,منتدى البحث العلمي والتصنيفات العالمية,جامعة الإمام محمد بن سعود الإسلامية,"منتدى وطني يهدف إلى مناقشة التوجهات العالمية في مجال التصنيفات الجامعية وأثر البحث العلمي في تحسين مواقع الجامعات على المستوى الدولي. يستعرض المنتدى أفضل الممارسات المؤسسية في إدارة البيانات البحثية، واستراتيجيات تحسين مؤشرات الأداء، ومفاتيح التأثير الأكاديمي والسمعة العالمية، كما يسعى إلى بناء وعي مؤسسي عميق حول العلاقة التكاملية.","Thursday, January 1, 2026","Friday, January 2, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,تحسب بدون تضمين,Tier 3
,معرض جسر الابتكار,جامعة الإمام محمد بن سعود الإسلامية,"فعالية ابتكارية تجمع بين الباحثين وروّاد الأعمال والمستثمرين لعرض مخرجات بحثية قابلة للتحويل إلى منتجات وخدمات تجارية. يهدف المعرض إلى تعزيز ثقافة ريادة الأعمال البحثية، وتفعيل قنوات تحويل المعرفة إلى قيمة اقتصادية، من خلال عرض نماذج حية من الابتكارات والبراءات المسجلة، وبناء شراكات مع القطاع الصناعي والتجاري.","Thursday, January 1, 2026","Friday, January 2, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,تحسب بدون تضمين,Tier 3
,المنتدى الدولي للبحث العلمي متعدد التخصصات والابتكار,جامعة الإمام محمد بن سعود الإسلامية,"منتدى علمي دولي يُعنى بتعزيز البحوث البينية ومتعددة التخصصات، بوصفها رافدًا أساسيًا لإنتاج معرفة مركّبة قادرة على معالجة التحديات المعاصرة. يهدف المنتدى إلى تشجيع النشر العلمي في أوعية عالمية مصنّفة، وتحفيز التعاون البحثي العابر للتخصصات، بما يسهم في رفع جودة الإنتاج العلمي للجامعة ويعزز حضورها في التصنيفات الأكاديمية الدولية، من خلال بحوث ترتبط بالأولويات الوطنية وتحقق تأثيرًا عالميًا مستدامًا.","Thursday, January 1, 2026","Friday, January 2, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,تحسب بدون تضمين,Tier 3
,المنتدى الوطني للنشر البحثي,جامعة الإمام محمد بن سعود الإسلامية,"منتدى وطني متخصص يُعنى بتحفيز الباحثين نحو النشر في المجلات والدوريات ذات معامل التأثير العالي (Impact Factor) والتأثير العلمي الأوسع (Influence)، من خلال مناقشة معايير النشر الرصين، واستراتيجيات الاستهداف الفعال، وتقديم قراءات تحليلية لمؤشرات الأداء البحثي في قواعد البيانات العالمية.","Thursday, January 1, 2026","Friday, January 2, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,تحسب بدون تضمين,Tier 3
,المنتدى الوطني لريادة الأعمال والابتكار,جامعة الإمام محمد بن سعود الإسلامية,"منتدى وطني يُعنى بتأهيل وتمكين الطلاب والطالبات في مجالات ريادة الأعمال والابتكار، من خلال استعراض مشاريعهم الريادية، وتقديم ورش تدريبية وفرص احتضان، وإتاحة منصات للتشبيك مع الجهات الداعمة. يسعى المنتدى إلى تنمية مهارات الجيل الريادي الجامعي، وتحويل أفكارهم إلى منتجات قابلة للتطبيق، انسجامًا مع مستهدفات رؤية المملكة 2030 في دعم الابتكار وريادة الأعمال كركيزة للتنمية الاقتصادية، وتعزيز ثقافة المبادرة داخل البيئة الأكاديمية.","Thursday, January 1, 2026","Friday, January 2, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,تحسب بدون تضمين,Tier 3
,ندوة حول المخطوطات والوثائق التاريخية,جامعة الإمام محمد بن سعود الإسلامية,"ملتقى علمي وطني يُبرز الإرث التاريخي والمعرفي للمملكة العربية السعودية من خلال حفظ وعرض الوثائق والمخطوطات التاريخية المتوفرة في الجامعة، بما يعكس عمق الهوية الوطنية ويعزّز استثمار المحتوى التراثي في دعم البحث العلمي. يهدف الملتقى إلى تمكين الباحثين من الوصول إلى هذه المصادر النوعية، ودراستها ونشرها علميًا، عبر منظومة مؤسسية تُسهم في رقمنه الوثائق وتيسير استخدامها الأكاديمي.","Thursday, January 1, 2026","Friday, January 2, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,تحسب بدون تضمين,Tier 3
,ندوة براءات الاختراع والملكية الفكرية بالجامعات السعودية,جامعة الإمام محمد بن سعود الإسلامية,"ملتقى وطني متخصص يهدف إلى مناقشة آليات دعم وتفعيل منظومة الملكية الفكرية في الجامعات السعودية، واستعراض أفضل الممارسات في تسجيل براءات الاختراع وحمايتها وتسويقها. يركز الملتقى على دور الجامعات في تحويل المعرفة إلى أصول فكرية قابلة للاستثمار، وتكامل السياسات المؤسسية مع الأنظمة الوطنية، بما يسهم في تعزيز البيئة الابتكارية، وتفعيل الاقتصاد القائم على المعرفة وفق مستهدفات رؤية 2030.","Thursday, January 1, 2026","Friday, January 2, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,تحسب بدون تضمين,Tier 3
,المؤتمر والمعرض الدولي البيئي ,وزارة البيئة والمياه والزراعة,,"Thursday, January 1, 2026","Saturday, January 3, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,لن تضمن,غير مضمنة
,المؤتمر الوطني للتنمية,جامعة الإمام محمد بن سعود الإسلامية,"مؤتمر وطني يستعرض توجهات البحث العلمي البيني بوصفه أداة استراتيجية لدعم خطط التنمية الوطنية، من خلال إنتاج معرفة تطبيقية تعالج القضايا التنموية ذات الأولوية. يهدف المؤتمر إلى تحفيز الأبحاث المشتركة بين التخصصات، وربطها بالقطاعات الاقتصادية والاجتماعية والبيئية، واستعراض التجارب البحثية التي أسهمت في تحقيق أثر تنموي ملموس.","Thursday, January 1, 2026","Saturday, January 3, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,تحسب بدون تضمين,Tier 3
,منتدى دول مجلس التعاون الخليجي لسياسات الطفولة,مجلس شؤون الأسرة ," إتاحة الفرصة لصانعي السياسات في مجلس التعاون لدول الخليج العربية للاطلاع على أفضل الممارسات والأدلة حول فعالية السياسات الصديقة للأسرة والتفاعل بين السياسات والسياقات الاقتصادية والاجتماعية للأسرة في دول الخليج النظر في مشاركة وتبادل مجلس التعاون لدول الخليج العربية التجارب، والتعرف على أفضل الممارسات من السياقات الدولية الأخرى وذات الاهتمام المشترك.","Thursday, January 1, 2026","Saturday, January 3, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,تحسب بدون تضمين,Tier 3
,منتدى الاقتصاد الفضي العالمي,مجلس شؤون الأسرة ," تعزيز دور المملكة كمركز عالمي في معالجة التحديات والفرص المرتبطة بتقدم السكان في العمر، وذلك في إطار رؤية السعودية 2030 التي تركز على التنمية المستدامة والتنوع الاقتصادي.","Thursday, January 1, 2026","Saturday, January 3, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,تحسب بدون تضمين,Tier 3
,معرض من المملكة إلى العالم ,مركز الملك سلمان للإغاثة والأعمال الإنسانية,"انطلاقاً من الإرث الإنساني للمملكة، يهدف المعرض المتنقل من المملكة إلى العالم 2026 إلى تعزيز الوعي العام بالجهود الإغاثية السعودية عالمياً، حيث يعمل المعرض كمنصة تفاعلية متنقلة بين مناطق المملكة لإشراك المواطنين في هذه الرؤية الإنسانية وترسيخ مكانة مركز الملك سلمان للإغاثة كنموذج ريادي عالمي.","Thursday, January 1, 2026","Saturday, January 3, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,يناير 2026م,تحسب بدون تضمين,Tier 3
,رعاية معرض البن والشكولاتة,وزارة البيئة والمياه والزراعة,"يعد هذا المعرض الأكبر من نوعه في منطقة الشرق الأوسط وشمال أفريقيا، وهو معتمد من قبل الجمعية العالمية للقهوة المختصة (SCA)، يجمع تحت سقف واحد المزارعين والموردين وأصحاب المقاهي وعشاق القهوة والشوكولاتة من أكثر من 40 دولة حول العالم.","Thursday, January 1, 2026","Saturday, January 3, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,لن تضمن,Tier 3
,الاحتفال باليوم الوطتي,مركز الملك عبدالعزيز للتواصل الحضاري,اليوم الوطني,"Thursday, January 1, 2026","Saturday, January 3, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,سيتم تحديده لاحقا ,لن تضمن,Tier 3
,منافسة رواد مستقبل المعادن,وزارة الصناعة والثروة المعدنية,"يضم المعسكر 356 مشاركًا يمثلون 70 فريقًا من 32 دولة، مما يعكس النمو المتسارع للمنافسة ومكانتها كمنصة عالمية للابتكار وتتنافس الفرق عبر ثلاثة مسارات رئيسية لمعالجة ستة تحديات نوعية في قطاع التعدين وتشمل تطوير التقنيات الذكية لتسريع الاستكشاف وأتمتة العمليات وتعزيز الأمن والسلامة.","Thursday, January 8, 2026","Saturday, January 10, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مؤتمر وجائزة الابتكار في استدامه المياه ,القطاع الخاص (تحالف),يجمع الحدث خبراء ومبتكرين لمشاركة أحدث الابتكارات وتعزيز التعاون واستعراض أفضل ممارسات تمكين التقنيات ودعم الشراكات الدولية في مجال الابتكار.,"Friday, January 9, 2026","Thursday, September 3, 2026",,Tier 2,أعمال,الرياض,,أساس,ملغى 1,غير متواصلة,سيتم تحديده لاحقا ,لن تضمن,غير مضمنة
,اجتماع الطاولة المستديرة  الياباني,وزارة الاستثمار,عقد اجتماع استثماري على هامش أعمال اللجنة السعودية اليابانية.,"Sunday, January 11, 2026","Sunday, January 11, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,اجتماع الطاولة المستديرة  الكندي,وزارة الاستثمار,عقد اجتماع استثماري على هامش أعمال اللجنة السعودية الكندية.,"Sunday, January 11, 2026","Sunday, January 11, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,المؤتمر الدولي لإدارة الأصول والمرافق والصيانة,الجمعية السعودية لإدارة الأصول والمرافق والصيانة,مؤتمر علمي ومهني ببرنامج متكامل يتضمن جلسات رئيسية وحلقات نقاش تتناول القضايا الاستراتيجية في إدارة الأصول والمرافق والصيانة وتستعرض التحديات الراهنة والحلول العملية وفرص التطوير في مختلف القطاعات.,"Monday, January 12, 2026","Wednesday, January 14, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,حفل تدشين العقود الموحدة للسيراميك والبورسلان ,الغرفة التجارية,,"Monday, January 12, 2026","Wednesday, January 14, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,مؤتمر التعدين الدولي,وزارة الصناعة والثروة المعدنية,مؤتمر يوفر منصة لمشاركة الأفكار القيمة واكتشاف الفرص المستقبلية وإقامة تعاون عالمي والمساهمة بتمكين منطقة التعدين التي تمتد من أفريقيا إلى غرب ووسط آسيا من الاستفادة من الطلب المتزايد على المعادن لزيادة وتيرة نموها وتحقيق رفاهية شعوبها واستقرارها.,"Tuesday, January 13, 2026","Thursday, January 15, 2026",,Marquee,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,المؤتمر العالمي للطب الرياضي وكرة القدم ,مدينة سلطان بن عبدالعزيز للخدمات الإنسانية,مؤتمر يجمع خبراء الطب الرياضي وكرة القدم لتبادل الخبرات والتقنيات ويستهدف الأطباء وأخصائيين العلاج الطبيعي عبر ورش عمل وجلسات حول إصابات العضلات والأربطة والمخاطر القلبية بمشاركة خبراء دوليين وممثلي دوري المحترفين السعودي.,"Saturday, January 17, 2026","Monday, January 19, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,معرض Big 5,الهيئة السعودية للمقاولين,معرض يوفر مساحة عرض موسعة لقطاع البناء والتشييد بهدف تمكين القطاع في المملكة بالكامل في ظل خطط التنمية الضخمة ويحتوي على خمس قطاعات جديدة من منتجات البناء ومن المتوقع مشاركة أكثر من 2000 عارض من أكثر من 60 دولة واستيعاب أكثر من 75000 من الخبراء والرائدين في صناعة البناء وأصحاب المصلحة الحكوميين والمشترين النشطين.,"Sunday, January 18, 2026","Wednesday, January 21, 2026",,Tier 1,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مؤتمر مستخدمي إسري الشرق الأوسط,قطاع خاص (شركة Esri) ,"مؤتمر مستخدمي نظم المعلومات الجغرافية لمنطقة الشرق الأوسط وشمال أفريقيا 2026، بمشاركة نخبة من الخبراء والمتخصصين وصنّاع القرار في مجالات التقنيات الجيومكانية والذكاء الجغرافي، ويضم متخصصي GIS ذوي الفكر المتقدم لاكتشاف الرؤى الجديدة ومشاركة الممارسات الابتكارية الأفضل ومعرفة معلومات عن التكنولوجيا الجغرافية المكانية الأحدث.","Tuesday, January 20, 2026","Wednesday, January 21, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,حفل كبار المانحين,مركز الملك سلمان للإغاثة والأعمال الإنسانية,حفل لتكريم كبار المانحين  لمركز الملك سلمان للإغاثة والأعمال الإنسانية. ,"Wednesday, January 21, 2026","Wednesday, January 21, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,"الملتقى التعريفي لمركز وقاء 
",مركز وقاء ,"تهدف هذه الورشة إلى توجيه الباحثين والأكاديميين نحو المجالات ذات الأولوية في البحث العلمي. وتتضمن مناقشة المجالات البحثية ذات الاهتمام المتزايد، واستعراض أحدث التوجهات في البحث العلمي، بالإضافة إلى تقديم إرشادات حول كيفية تحديد النطاقات البحثية المناسبة للمؤسسات البحثية.","Thursday, January 22, 2026","Thursday, January 22, 2026",,Tier 3,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تحسب بدون تضمين,Tier 3
,منتدى ماسك السنوي للاستثمار,قطاع خاص (MASIC),"منتدى يضم قائمة من كبار الشخصيات وصناع القرار في القطاعين العام والخاص، بالإضافة إلى مجموعة متنوعة من المستثمرين والممارسين والأكاديميين لمناقشة أحدث الممارسات في مجال التمويل والاستثمار العالمي.","Sunday, January 25, 2026","Sunday, January 25, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
,مؤتمر الزكاة والضريبة والجمارك,هيئة الزكاة والضريبة والجمارك,يجمع المؤتمر نخبة من كبار مسؤولي الهيئات والمؤسسات الحكومية والمنظمات العالمية وقيادات الشركات والخبراء وعموم المهتمين بالمجال لبحث الرؤى والنماذج المعاصرة في جباية الزكاة وتحصيل الضرائب وتنظيم جميع الأنشطة المتعلقة بالعمل الجمركي والمنافذ الجمركية وإدارتها لبناء نموذج عمل ريادي مشترك يقاد فيه الطريق نحو مستقبل واعد وتنمية مستدامة.,"Monday, January 26, 2026","Monday, January 26, 2026",,Tier 1,أعمال,الرياض,,أساس,ملغى 1,متواصلة,خلال التواريخ المحددة,لن تضمن,غير مضمنة
,حفل جائزة العمل,وزارة الموارد البشرية والتنمية الاجتماعية,"حفل تكريم تنظمه وزارة الموارد البشرية والتنمية الاجتماعية للمنشآت المتميزة في القطاع الخاص في المملكة العربية السعودية، حيث تسعى الجائزة إلى تحفيز القطاع الخاص على تحسين بيئات العمل ورفع نسب التوطين وتنمية الكوادر البشرية.","Monday, January 26, 2026","Monday, January 26, 2026",,Tier 2,أعمال,الرياض,,أساس,لم تلغى,متواصلة,خلال التواريخ المحددة,تضمن,
